loan_details_key,term,grade,sub_grade,purpose,title,application_type,initial_list_status
74,36 months,A,A1,debt_consolidation,My Loan,Individual,w
75,36 months,A,A1,debt_consolidation,Relocation Fund,Individual,w
76,36 months,A,A1,debt_consolidation,consolidation,Individual,f
77,36 months,A,A1,home_improvement,,Individual,f
78,36 months,A,A1,home_improvement,,Individual,w
79,36 months,A,A1,home_improvement,,Joint App,w
80,36 months,A,A1,home_improvement,Bathroom Restoration,Individual,f
81,36 months,A,A1,home_improvement,Debt consolidation,Individual,w
82,36 months,A,A1,home_improvement,Home Improvement,Individual,w
83,36 months,A,A1,home_improvement,Home improvement,Individual,f
84,36 months,A,A1,home_improvement,Home improvement,Individual,w
85,36 months,A,A1,home_improvement,Home improvement,Joint App,f
86,36 months,A,A1,home_improvement,Home improvement,Joint App,w
87,36 months,A,A1,home_improvement,Siding Project,Individual,w
88,36 months,A,A1,house,,Joint App,w
89,36 months,A,A1,house,Home buying,Individual,f
90,36 months,A,A1,house,Home buying,Individual,w
91,36 months,A,A1,house,Home buying,Joint App,f
92,36 months,A,A1,house,Home buying,Joint App,w
93,36 months,A,A1,major_purchase,,Individual,f
94,36 months,A,A1,major_purchase,,Individual,w
95,36 months,A,A1,major_purchase,,Joint App,w
96,36 months,A,A1,major_purchase,Engagement Ring,Individual,f
97,36 months,A,A1,major_purchase,Major purchase,Individual,f
98,36 months,A,A1,major_purchase,Major purchase,Individual,w
99,36 months,A,A1,major_purchase,Major purchase,Joint App,f
100,36 months,A,A1,major_purchase,Major purchase,Joint App,w
101,36 months,A,A1,major_purchase,driveway addition,Individual,f
102,36 months,A,A1,medical,,Individual,f
103,36 months,A,A1,medical,,Individual,w
104,36 months,A,A1,medical,Medical expenses,Individual,f
105,36 months,A,A1,medical,Medical expenses,Individual,w
106,36 months,A,A1,medical,Medical expenses,Joint App,f
107,36 months,A,A1,medical,Medical expenses,Joint App,w
108,36 months,A,A1,moving,,Individual,w
109,36 months,A,A1,moving,Moving and relocation,Individual,f
110,36 months,A,A1,moving,Moving and relocation,Individual,w
111,36 months,A,A1,moving,Moving and relocation,Joint App,f
112,36 months,A,A1,moving,Moving and relocation,Joint App,w
113,36 months,A,A1,other,,Individual,f
114,36 months,A,A1,other,,Individual,w
115,36 months,A,A1,other,Credit card refinancing,Individual,w
116,36 months,A,A1,other,Other,Individual,f
117,36 months,A,A1,other,Other,Individual,w
118,36 months,A,A1,other,Other,Joint App,f
119,36 months,A,A1,other,Other,Joint App,w
120,36 months,A,A1,renewable_energy,Green loan,Individual,f
121,36 months,A,A1,renewable_energy,Green loan,Individual,w
122,36 months,A,A1,renewable_energy,Green loan,Joint App,w
123,36 months,A,A1,small_business,,Individual,w
124,36 months,A,A1,small_business,Business,Individual,f
125,36 months,A,A1,small_business,Business,Individual,w
126,36 months,A,A1,small_business,Business,Joint App,f
127,36 months,A,A1,small_business,Business,Joint App,w
128,36 months,A,A1,vacation,,Individual,w
129,36 months,A,A1,vacation,Vacation,Individual,f
130,36 months,A,A1,vacation,Vacation,Individual,w
131,36 months,A,A1,vacation,Vacation,Joint App,f
132,36 months,A,A1,vacation,Vacation,Joint App,w
133,36 months,A,A2,car,,Individual,f
134,36 months,A,A2,car,,Individual,w
135,36 months,A,A2,car,Car financing,Individual,f
136,36 months,A,A2,car,Car financing,Individual,w
137,36 months,A,A2,car,Car financing,Joint App,f
138,36 months,A,A2,car,Car financing,Joint App,w
139,36 months,A,A2,credit_card,,Individual,f
140,36 months,A,A2,credit_card,,Individual,w
141,36 months,A,A2,credit_card,,Joint App,f
142,36 months,A,A2,credit_card,,Joint App,w
143,36 months,A,A2,credit_card,Bill Consolidation,Individual,f
144,36 months,A,A2,credit_card,CC Consolidation,Individual,f
145,36 months,A,A2,credit_card,CC Loan,Individual,w
146,36 months,A,A2,credit_card,CC Loan consolidation,Individual,f
147,36 months,A,A2,credit_card,CONSOLODATION,Individual,f
148,36 months,A,A2,credit_card,Card refinance,Individual,w
149,36 months,A,A2,credit_card,Catchin' Up,Individual,w
150,36 months,A,A2,credit_card,Consolidation,Individual,w
151,36 months,A,A2,credit_card,Consolidation Loan,Individual,f
152,36 months,A,A2,credit_card,Credit Card Consolidate,Individual,w
153,36 months,A,A2,credit_card,Credit Card Consolidation,Individual,f
154,36 months,A,A2,credit_card,Credit Card Consolidation,Individual,w
155,36 months,A,A2,credit_card,Credit Card Refi,Individual,f
156,36 months,A,A2,credit_card,Credit Card Refinance,Individual,f
157,36 months,A,A2,credit_card,Credit Card Refinance,Individual,w
158,36 months,A,A2,credit_card,Credit Card Refinance Loan,Individual,f
159,36 months,A,A2,credit_card,Credit Card Refinancing,Individual,w
160,36 months,A,A2,credit_card,Credit Cards,Individual,f
161,36 months,A,A2,credit_card,Credit card consolidation/refinance,Individual,f
162,36 months,A,A2,credit_card,Credit card refinancing,Individual,f
163,36 months,A,A2,credit_card,Credit card refinancing,Individual,w
164,36 months,A,A2,credit_card,Credit card refinancing,Joint App,f
165,36 months,A,A2,credit_card,Credit card refinancing,Joint App,w
166,36 months,A,A2,credit_card,Debt End,Individual,f
167,36 months,A,A2,credit_card,Debt Pay off,Individual,f
168,36 months,A,A2,credit_card,Debt consolidation,Individual,f
169,36 months,A,A2,credit_card,Debt consolidation,Individual,w
170,36 months,A,A2,credit_card,DebtConsolidation,Individual,w
171,36 months,A,A2,credit_card,Destroy My Credit Cards,Individual,w
172,36 months,A,A2,credit_card,Discover Personal Loan Refi,Individual,f
173,36 months,A,A2,credit_card,Financial Freedom Soon,Individual,w
174,36 months,A,A2,credit_card,Freedom,Individual,f
175,36 months,A,A2,credit_card,Freedom loan,Individual,w
176,36 months,A,A2,credit_card,Life Debt Free Plan,Individual,f
177,36 months,A,A2,credit_card,Refinane Credit Card Debt,Individual,f
178,36 months,A,A2,credit_card,amex,Individual,w
179,36 months,A,A2,credit_card,byebyecards,Individual,w
180,36 months,A,A2,credit_card,creditcardrelief,Individual,w
181,36 months,A,A2,credit_card,for a better tomorrow,Individual,f
182,36 months,A,A2,credit_card,help me out,Individual,f
183,36 months,A,A2,credit_card,"lower my CC rate, increase your return!",Individual,f
184,36 months,A,A2,credit_card,pERSONAL lOAN,Individual,w
185,36 months,A,A2,credit_card,payoffcard,Individual,w
186,36 months,A,A2,credit_card,refinance loan,Individual,f
187,36 months,A,A2,debt_consolidation,,Individual,f
188,36 months,A,A2,debt_consolidation,,Individual,w
189,36 months,A,A2,debt_consolidation,,Joint App,f
190,36 months,A,A2,debt_consolidation,,Joint App,w
191,36 months,A,A2,debt_consolidation,Boat Refurbishment,Individual,f
192,36 months,A,A2,debt_consolidation,BofA,Individual,f
193,36 months,A,A2,debt_consolidation,Complete consolidation,Individual,f
194,36 months,A,A2,debt_consolidation,Consolidated debs,Individual,f
195,36 months,A,A2,debt_consolidation,Consolidation,Individual,w
196,36 months,A,A2,debt_consolidation,Credit Card Debt Consolidation,Individual,w
197,36 months,A,A2,debt_consolidation,Credit Card Elimination,Individual,w
198,36 months,A,A2,debt_consolidation,Credit Consolidation,Individual,f
199,36 months,A,A2,debt_consolidation,Credit Debt Consolidation,Individual,f
200,36 months,A,A2,debt_consolidation,Credit card refinancing,Individual,f
201,36 months,A,A2,debt_consolidation,Credit card refinancing,Individual,w
202,36 months,A,A2,debt_consolidation,Debt,Individual,w
203,36 months,A,A2,debt_consolidation,Debt Consolidation,Individual,f
204,36 months,A,A2,debt_consolidation,Debt Consolidation,Individual,w
205,36 months,A,A2,debt_consolidation,Debt Consolidation (6 Credit Cards),Individual,f
206,36 months,A,A2,debt_consolidation,Debt Consolidation Loan,Individual,f
207,36 months,A,A2,debt_consolidation,Debt consolidation,Individual,f
208,36 months,A,A2,debt_consolidation,Debt consolidation,Individual,w
209,36 months,A,A2,debt_consolidation,Debt consolidation,Joint App,f
210,36 months,A,A2,debt_consolidation,Debt consolidation,Joint App,w
211,36 months,A,A2,debt_consolidation,Debt consolidation- perfect credit,Individual,f
212,36 months,A,A2,debt_consolidation,Debt free,Individual,w
213,36 months,A,A2,debt_consolidation,DebtFree,Individual,w
214,36 months,A,A2,debt_consolidation,Home improvement,Individual,f
215,36 months,A,A2,debt_consolidation,Payoff,Individual,f
216,36 months,A,A2,debt_consolidation,Personal,Individual,w
217,36 months,A,A2,debt_consolidation,Personal Loan - Debt Consolidation,Individual,w
218,36 months,A,A2,debt_consolidation,Ramsey Debt Snowball,Individual,f
219,36 months,A,A2,debt_consolidation,"Refi Heating system,consolidate,Pump",Individual,w
220,36 months,A,A2,debt_consolidation,consolidate,Individual,f
221,36 months,A,A2,debt_consolidation,consolidation,Individual,f
222,36 months,A,A2,debt_consolidation,debt consolidation,Individual,f
223,36 months,A,A2,debt_consolidation,debt free,Individual,w
224,36 months,A,A2,debt_consolidation,pay off credit cards,Individual,f
225,36 months,A,A2,debt_consolidation,paying off car dept,Individual,f
226,36 months,A,A2,home_improvement,,Individual,f
227,36 months,A,A2,home_improvement,,Individual,w
228,36 months,A,A2,home_improvement,,Joint App,w
229,36 months,A,A2,home_improvement,Home,Individual,f
230,36 months,A,A2,home_improvement,Home Improvement Loan,Individual,w
231,36 months,A,A2,home_improvement,Home improvement,Individual,f
232,36 months,A,A2,home_improvement,Home improvement,Individual,w
233,36 months,A,A2,home_improvement,Home improvement,Joint App,f
234,36 months,A,A2,home_improvement,Home improvement,Joint App,w
235,36 months,A,A2,home_improvement,Home repair and debt pay,Individual,f
236,36 months,A,A2,home_improvement,Kitchen renovation loan,Individual,f
237,36 months,A,A2,home_improvement,My Home improvement loan,Individual,f
238,36 months,A,A2,home_improvement,Trees,Individual,w
239,36 months,A,A2,home_improvement,home,Individual,w
240,36 months,A,A2,house,,Individual,f
241,36 months,A,A2,house,Home buying,Individual,f
242,36 months,A,A2,house,Home buying,Individual,w
243,36 months,A,A2,house,Home buying,Joint App,f
244,36 months,A,A2,house,Home buying,Joint App,w
245,36 months,A,A2,major_purchase,,Individual,f
246,36 months,A,A2,major_purchase,,Individual,w
247,36 months,A,A2,major_purchase,Club loan,Individual,f
248,36 months,A,A2,major_purchase,Debt consolidation,Individual,f
249,36 months,A,A2,major_purchase,Major purchase,Individual,f
250,36 months,A,A2,major_purchase,Major purchase,Individual,w
251,36 months,A,A2,major_purchase,Major purchase,Joint App,f
252,36 months,A,A2,major_purchase,Major purchase,Joint App,w
253,36 months,A,A2,medical,,Individual,w
254,36 months,A,A2,medical,Medical expenses,Individual,f
255,36 months,A,A2,medical,Medical expenses,Individual,w
256,36 months,A,A2,medical,Medical expenses,Joint App,f
257,36 months,A,A2,medical,Medical expenses,Joint App,w
258,36 months,A,A2,moving,Moving and relocation,Individual,f
259,36 months,A,A2,moving,Moving and relocation,Individual,w
260,36 months,A,A2,moving,Moving and relocation,Joint App,f
261,36 months,A,A2,moving,Moving and relocation,Joint App,w
262,36 months,A,A2,other,,Individual,f
263,36 months,A,A2,other,,Individual,w
264,36 months,A,A2,other,Home improvement,Individual,w
265,36 months,A,A2,other,Other,Individual,f
266,36 months,A,A2,other,Other,Individual,w
267,36 months,A,A2,other,Other,Joint App,f
268,36 months,A,A2,other,Other,Joint App,w
269,36 months,A,A2,renewable_energy,Green loan,Individual,f
270,36 months,A,A2,renewable_energy,Green loan,Individual,w
271,36 months,A,A2,renewable_energy,Green loan,Joint App,w
272,36 months,A,A2,small_business,,Individual,w
273,36 months,A,A2,small_business,Business,Individual,f
274,36 months,A,A2,small_business,Business,Individual,w
275,36 months,A,A2,small_business,Business,Joint App,f
276,36 months,A,A2,small_business,Business,Joint App,w
277,36 months,A,A2,vacation,,Individual,f
278,36 months,A,A2,vacation,,Individual,w
279,36 months,A,A2,vacation,Vacation,Individual,f
280,36 months,A,A2,vacation,Vacation,Individual,w
281,36 months,A,A2,vacation,Vacation,Joint App,f
282,36 months,A,A2,vacation,Vacation,Joint App,w
283,36 months,A,A3,car,,Individual,w
284,36 months,A,A3,car,Car financing,Individual,f
285,36 months,A,A3,car,Car financing,Individual,w
286,36 months,A,A3,car,Car financing,Joint App,f
287,36 months,A,A3,car,Car financing,Joint App,w
288,36 months,A,A3,car,Vette,Individual,w
289,36 months,A,A3,credit_card,,Individual,f
290,36 months,A,A3,credit_card,,Individual,w
291,36 months,A,A3,credit_card,,Joint App,w
292,36 months,A,A3,credit_card,CC Loan,Individual,w
293,36 months,A,A3,credit_card,CC Refinance,Individual,f
294,36 months,A,A3,credit_card,CC refi,Individual,f
295,36 months,A,A3,credit_card,Card Refinance Loan,Individual,f
296,36 months,A,A3,credit_card,Cards,Individual,w
297,36 months,A,A3,credit_card,Consolidate Credit Card Debt,Individual,f
298,36 months,A,A3,credit_card,ConsolidateHighInterestCC,Individual,w
299,36 months,A,A3,credit_card,Credit Card,Individual,w
300,36 months,A,A3,credit_card,Credit Card Consolidation,Individual,f
301,36 months,A,A3,credit_card,Credit Card Debt,Individual,w
302,36 months,A,A3,credit_card,Credit Card Freedom,Individual,w
303,36 months,A,A3,credit_card,Credit Card Payoff,Individual,f
304,36 months,A,A3,credit_card,Credit Card Refi,Individual,f
305,36 months,A,A3,credit_card,Credit Card Refinance,Individual,w
306,36 months,A,A3,credit_card,Credit Card Refinancing,Individual,f
307,36 months,A,A3,credit_card,Credit Cards,Individual,f
308,36 months,A,A3,credit_card,Credit Cards,Individual,w
309,36 months,A,A3,credit_card,Credit Refi,Individual,f
310,36 months,A,A3,credit_card,Credit card refi,Individual,f
311,36 months,A,A3,credit_card,Credit card refinancing,Individual,f
312,36 months,A,A3,credit_card,Credit card refinancing,Individual,w
313,36 months,A,A3,credit_card,Credit card refinancing,Joint App,f
314,36 months,A,A3,credit_card,Credit card refinancing,Joint App,w
315,36 months,A,A3,credit_card,Credit refi,Individual,w
316,36 months,A,A3,credit_card,Debt Consolidation,Individual,w
317,36 months,A,A3,credit_card,Debt Free Solution,Individual,f
318,36 months,A,A3,credit_card,Debt consolidation,Individual,f
319,36 months,A,A3,credit_card,Debt consolidation,Individual,w
320,36 months,A,A3,credit_card,Financial Freedom,Individual,f
321,36 months,A,A3,credit_card,Fixed Credit Card Loan,Individual,f
322,36 months,A,A3,credit_card,Lending Club,Individual,f
323,36 months,A,A3,credit_card,LendingClubLoan,Individual,w
324,36 months,A,A3,credit_card,Manage My Debt,Individual,f
325,36 months,A,A3,credit_card,"New Year, fresh start",Individual,f
326,36 months,A,A3,credit_card,Other,Individual,w
327,36 months,A,A3,credit_card,Personal Loan,Individual,w
328,36 months,A,A3,credit_card,Positive reaction,Individual,w
329,36 months,A,A3,credit_card,Refi,Individual,f
330,36 months,A,A3,credit_card,Refinance,Individual,f
331,36 months,A,A3,credit_card,Refinance Loan,Individual,f
332,36 months,A,A3,credit_card,Renewal,Individual,w
333,36 months,A,A3,credit_card,consolidate credit cards,Individual,w
334,36 months,A,A3,credit_card,consolidation,Individual,f
335,36 months,A,A3,credit_card,consolidation,Individual,w
336,36 months,A,A3,credit_card,credit,Individual,w
337,36 months,A,A3,credit_card,credit card,Individual,w
338,36 months,A,A3,credit_card,credit card consolidation,Individual,f
339,36 months,A,A3,credit_card,credit card payoff,Individual,f
340,36 months,A,A3,credit_card,credit card refinance,Individual,f
341,36 months,A,A3,credit_card,credit card refinance,Individual,f
342,36 months,A,A3,credit_card,debt consolidation,Individual,f
343,36 months,A,A3,credit_card,debt reduction,Individual,f
344,36 months,A,A3,credit_card,debtpayoff,Individual,f
345,36 months,A,A3,credit_card,fresh start,Individual,f
346,36 months,A,A3,credit_card,just say no to BoA,Individual,f
347,36 months,A,A3,credit_card,pay off,Individual,w
348,36 months,A,A3,debt_consolidation,,Individual,f
349,36 months,A,A3,debt_consolidation,,Individual,w
350,36 months,A,A3,debt_consolidation,,Joint App,f
351,36 months,A,A3,debt_consolidation,,Joint App,w
352,36 months,A,A3,debt_consolidation,2 Year Debt Free Solution,Individual,w
353,36 months,A,A3,debt_consolidation,AMEX DISC CONSOLIDATION,Individual,f
354,36 months,A,A3,debt_consolidation,CC Consolidation,Individual,w
355,36 months,A,A3,debt_consolidation,Consolidate,Individual,f
356,36 months,A,A3,debt_consolidation,Consolidation,Individual,f
357,36 months,A,A3,debt_consolidation,Consolidation,Individual,w
358,36 months,A,A3,debt_consolidation,Consolidation for Move to NC,Individual,f
359,36 months,A,A3,debt_consolidation,Credit Card Consolidation,Individual,f
360,36 months,A,A3,debt_consolidation,Credit Card Consolidation,Individual,w
361,36 months,A,A3,debt_consolidation,Credit Card Debt,Individual,w
362,36 months,A,A3,debt_consolidation,Credit card refinancing,Individual,f
363,36 months,A,A3,debt_consolidation,Credit card refinancing,Individual,w
364,36 months,A,A3,debt_consolidation,Credit payoff,Individual,f
365,36 months,A,A3,debt_consolidation,Debit Consolidation,Individual,f
366,36 months,A,A3,debt_consolidation,Debt Consolidation,Individual,f
367,36 months,A,A3,debt_consolidation,Debt Consolidation,Individual,w
368,36 months,A,A3,debt_consolidation,Debt Consolidation - Credit Cards,Individual,f
369,36 months,A,A3,debt_consolidation,Debt Consolidation Loan,Individual,f
370,36 months,A,A3,debt_consolidation,Debt consolidation,Individual,f
371,36 months,A,A3,debt_consolidation,Debt consolidation,Individual,w
372,36 months,A,A3,debt_consolidation,Debt consolidation,Joint App,f
373,36 months,A,A3,debt_consolidation,Debt consolidation,Joint App,w
374,36 months,A,A3,debt_consolidation,Debt payoff,Individual,w
375,36 months,A,A3,debt_consolidation,Final,Individual,w
376,36 months,A,A3,debt_consolidation,Finish line,Individual,w
377,36 months,A,A3,debt_consolidation,Getting out of debt,Individual,f
378,36 months,A,A3,debt_consolidation,Lastloan,Individual,f
379,36 months,A,A3,debt_consolidation,Loan 2,Individual,f
380,36 months,A,A3,debt_consolidation,Lower rate,Individual,f
381,36 months,A,A3,debt_consolidation,Lowering Debt,Individual,f
382,36 months,A,A3,debt_consolidation,Major purchase,Individual,f
383,36 months,A,A3,debt_consolidation,Other,Individual,w
384,36 months,A,A3,debt_consolidation,Paidoff,Individual,f
385,36 months,A,A3,debt_consolidation,Pay Off Debt,Individual,w
386,36 months,A,A3,debt_consolidation,Pay it Off!,Individual,w
387,36 months,A,A3,debt_consolidation,Pay off credit cards,Individual,w
388,36 months,A,A3,debt_consolidation,Pay off of a boat loan and a credit card,Individual,w
389,36 months,A,A3,debt_consolidation,Personal Debt Consolidation,Individual,f
390,36 months,A,A3,debt_consolidation,Personal Loan,Individual,w
391,36 months,A,A3,debt_consolidation,Reduce Rate on Lendingclub Loan,Individual,w
392,36 months,A,A3,debt_consolidation,Reliable Borrower Needs Better Rate,Individual,f
393,36 months,A,A3,debt_consolidation,Relief,Individual,f
394,36 months,A,A3,debt_consolidation,School,Individual,w
395,36 months,A,A3,debt_consolidation,Total Credit Card Consolidation,Individual,f
396,36 months,A,A3,debt_consolidation,ccloan,Individual,w
397,36 months,A,A3,debt_consolidation,consolidate,Individual,w
398,36 months,A,A3,debt_consolidation,debt consolidation,Individual,f
399,36 months,A,A3,debt_consolidation,debtpay,Individual,w
400,36 months,A,A3,debt_consolidation,dept relief,Individual,w
401,36 months,A,A3,debt_consolidation,pay off debt,Individual,w
402,36 months,A,A3,debt_consolidation,paying,Individual,f
403,36 months,A,A3,home_improvement,,Individual,f
404,36 months,A,A3,home_improvement,,Individual,w
405,36 months,A,A3,home_improvement,,Joint App,w
406,36 months,A,A3,home_improvement,Condo Improvements,Individual,w
407,36 months,A,A3,home_improvement,Credit card refinancing,Individual,w
408,36 months,A,A3,home_improvement,Home Improvement,Individual,w
409,36 months,A,A3,home_improvement,Home Improvement Loan,Individual,f
410,36 months,A,A3,home_improvement,Home Improvement and loan consolidation,Individual,f
411,36 months,A,A3,home_improvement,Home improvement,Individual,f
412,36 months,A,A3,home_improvement,Home improvement,Individual,w
413,36 months,A,A3,home_improvement,Home improvement,Joint App,f
414,36 months,A,A3,home_improvement,Home improvement,Joint App,w
415,36 months,A,A3,home_improvement,Security upgrades,Individual,f
416,36 months,A,A3,house,Home buying,Individual,f
417,36 months,A,A3,house,Home buying,Individual,w
418,36 months,A,A3,house,Home buying,Joint App,f
419,36 months,A,A3,house,Home buying,Joint App,w
420,36 months,A,A3,major_purchase,,Individual,w
421,36 months,A,A3,major_purchase,Land,Individual,f
422,36 months,A,A3,major_purchase,Major purchase,Individual,f
423,36 months,A,A3,major_purchase,Major purchase,Individual,w
424,36 months,A,A3,major_purchase,Major purchase,Joint App,f
425,36 months,A,A3,major_purchase,Major purchase,Joint App,w
426,36 months,A,A3,medical,,Individual,w
427,36 months,A,A3,medical,Medical expenses,Individual,f
428,36 months,A,A3,medical,Medical expenses,Individual,w
429,36 months,A,A3,medical,Medical expenses,Joint App,f
430,36 months,A,A3,medical,Medical expenses,Joint App,w
431,36 months,A,A3,moving,,Individual,f
432,36 months,A,A3,moving,,Individual,w
433,36 months,A,A3,moving,Moving and relocation,Individual,f
434,36 months,A,A3,moving,Moving and relocation,Individual,w
435,36 months,A,A3,moving,Moving and relocation,Joint App,w
436,36 months,A,A3,other,,Individual,w
437,36 months,A,A3,other,,Joint App,w
438,36 months,A,A3,other,Business,Individual,w
439,36 months,A,A3,other,Debt consolidation,Individual,w
440,36 months,A,A3,other,Other,Individual,f
441,36 months,A,A3,other,Other,Individual,w
442,36 months,A,A3,other,Other,Joint App,f
443,36 months,A,A3,other,Other,Joint App,w
444,36 months,A,A3,renewable_energy,Green loan,Individual,f
445,36 months,A,A3,renewable_energy,Green loan,Individual,w
446,36 months,A,A3,renewable_energy,Green loan,Joint App,f
447,36 months,A,A3,renewable_energy,Green loan,Joint App,w
448,36 months,A,A3,small_business,,Individual,w
449,36 months,A,A3,small_business,Business,Individual,f
450,36 months,A,A3,small_business,Business,Individual,w
451,36 months,A,A3,small_business,Business,Joint App,f
452,36 months,A,A3,small_business,Business,Joint App,w
453,36 months,A,A3,small_business,Credit card refinancing,Individual,w
454,36 months,A,A3,vacation,,Individual,f
455,36 months,A,A3,vacation,,Individual,w
456,36 months,A,A3,vacation,Vacation,Individual,f
457,36 months,A,A3,vacation,Vacation,Individual,w
458,36 months,A,A3,vacation,Vacation,Joint App,f
459,36 months,A,A3,vacation,Vacation,Joint App,w
460,36 months,A,A4,car,,Individual,f
461,36 months,A,A4,car,,Individual,w
462,36 months,A,A4,car,Car financing,Individual,f
463,36 months,A,A4,car,Car financing,Individual,w
464,36 months,A,A4,car,Car financing,Joint App,f
465,36 months,A,A4,car,Car financing,Joint App,w
466,36 months,A,A4,credit_card,,Individual,f
467,36 months,A,A4,credit_card,,Individual,w
468,36 months,A,A4,credit_card,,Joint App,w
469,36 months,A,A4,credit_card,Bill,Individual,f
470,36 months,A,A4,credit_card,Bills,Individual,f
471,36 months,A,A4,credit_card,CC & Student Loan Expenses Refi,Individual,w
472,36 months,A,A4,credit_card,CC Loan,Individual,f
473,36 months,A,A4,credit_card,Card Consolidation,Individual,f
474,36 months,A,A4,credit_card,Card Consolidation,Individual,w
475,36 months,A,A4,credit_card,Card payoff,Individual,w
476,36 months,A,A4,credit_card,Club,Individual,f
477,36 months,A,A4,credit_card,Consolidate Loan,Individual,f
478,36 months,A,A4,credit_card,Consolidate Me,Individual,f
479,36 months,A,A4,credit_card,Consolidation,Individual,f
480,36 months,A,A4,credit_card,Credit,Individual,f
